id;commande_id;commande_lieu;commande_echeance;commande_libelle
1;44928;Towels bricks-and-clicks calculating;Administrateur Poitou-Charentes Total;Loan deposit feed
2;42295;connecting;Saint-Denis leading;a
3;1878;Incredible b customized;Rubber;calculate Frozen
4;79062;sensor c;input Mexique end-to-end;deposit generating Berkshire
5;43577;service-desk open-source;Plastic EXE a;magenta Alsace Languedoc-Roussillon
6;69151;innovative;disintermediate bypass;compress Soft
7;1380;index Towels virtual;hack;Gambie
8;3157;payment b impactful;Garden experiences;hacking de
9;82791;Producteur ADP;Ergonomic non-volatile Luxembourg;a Designer
10;4372;Cambridgeshire input;SMS Franche-Comté core;Chair Corse
