id;cooperative_id;cooperative_nom;cooperative_directeur;cooperative_ville;cooperative_metropole;cooperative_commune
1;41418;a;deposit;green;portals Steel;Granite
2;89581;gold;Rhône-Alpes help-desk port;array front-end;Avon Account;integrated multi-state
3;4634;navigate attitude;Manager application;De-engineered workforce SAS;c;neural
4;80098;b overriding;Plastic Small Car;navigate Panama;Irlande Rubber;violet
5;37554;infomediaries upward-trending;SMTP;Salomon;c;Intelligent Investment
6;3186;connect Thaïlande Corse;Steel;e-business;Loan Sleek Saint-Séverin;bluetooth
7;59090;Tanzanian Architecte SMS;incubate invoice;Salad;Keyboard pixel;Market Mille b
8;15822;Rufiyaa feed;Borders;multi-byte c;Nouvelle-Zélande asymmetric;bypassing
9;80630;Technicien envisioneer;Centre Auvergne Refined;deposit;Provence 17(E.U.A.-17);niches Salad
10;40802;Steel;Agent Managed;withdrawal;Franc Yémen;Cotton Antigua-et-Barbuda
